nom_estab,codigo_act,nom_act,alcaldia,lat,lon
ALBERGUE DE VOLUNTARIAS DEL INSTITUTO NACIONAL DE CANCEROLOGIA REYNA SOFIA,623111,"Residencias del sector privado con cuidados de enfermeras para enfermos convalecientes, en rehabilitaciÃ³n, incurables y terminales",CoyoacÃ¡n,19.30067519,-99.15141837
ALBERGUE SAN JOSE,623111,"Residencias del sector privado con cuidados de enfermeras para enfermos convalecientes, en rehabilitaciÃ³n, incurables y terminales",Gustavo A. Madero,19.49386179,-99.11412406
BANCO DE TAPITAS,623111,"Residencias del sector privado con cuidados de enfermeras para enfermos convalecientes, en rehabilitaciÃ³n, incurables y terminales",Iztacalco,19.38197144,-99.1338686
CENTRAL DE ENFERMERAS ACOLHUACAN,623111,"Residencias del sector privado con cuidados de enfermeras para enfermos convalecientes, en rehabilitaciÃ³n, incurables y terminales",Venustiano Carranza,19.42701237,-99.05680393
CENTRO DE DESARROLLO NEUROLOGICO,623111,"Residencias del sector privado con cuidados de enfermeras para enfermos convalecientes, en rehabilitaciÃ³n, incurables y terminales",La Magdalena Contreras,19.31955921,-99.22557495
CON GANAS DE VIVIR,623111,"Residencias del sector privado con cuidados de enfermeras para enfermos convalecientes, en rehabilitaciÃ³n, incurables y terminales",CuauhtÃ©moc,19.45813883,-99.12552324
CONSULTORIO DE CUIDADOS PAULATIVOS,623111,"Residencias del sector privado con cuidados de enfermeras para enfermos convalecientes, en rehabilitaciÃ³n, incurables y terminales",Gustavo A. Madero,19.49139908,-99.13176172
ENFERMOS ANONIMOS,623111,"Residencias del sector privado con cuidados de enfermeras para enfermos convalecientes, en rehabilitaciÃ³n, incurables y terminales",Iztapalapa,19.36303678,-99.09195798
HOGAR DE NUESTRA SEÃORA DE LA CONSOLACION PARA NIÃOS INCURABLES IAP,623111,"Residencias del sector privado con cuidados de enfermeras para enfermos convalecientes, en rehabilitaciÃ³n, incurables y terminales",Tlalpan,19.28182779,-99.17262376
HOGAR PAZ Y ALEGRIA MISIONERAS DE LA CARIDAD,623111,"Residencias del sector privado con cuidados de enfermeras para enfermos convalecientes, en rehabilitaciÃ³n, incurables y terminales",Ãlvaro ObregÃ³n,19.38203514,-99.24345496
LA CASA DE LA SAL,623111,"Residencias del sector privado con cuidados de enfermeras para enfermos convalecientes, en rehabilitaciÃ³n, incurables y terminales",Azcapotzalco,19.46320058,-99.18058952
"RESIDENCIAS DEL SECTOR PRIVADO CON CUIDADOS DE ENFERMERAS PARA ENFERMOS CONVALECIENTES, EN REHABILITACIÃN, INCURABLES Y TERMINALES SIN NOMBRE",623111,"Residencias del sector privado con cuidados de enfermeras para enfermos convalecientes, en rehabilitaciÃ³n, incurables y terminales",Benito JuÃ¡rez,19.37064252,-99.16110809
